               Pwr1   Pwr2   Pwr3      
    SN         2402   2442   2480     Test End Time
358441080000   3.63   3.46   2.94   2017/6/7 15:30:44
358441080000   3.47   3.39   2.85   2017/6/7 15:31:13
358441080000   3.55   3.47   2.96   2017/6/7 15:31:42
358441080000   3.44   3.45   3.05   2017/6/7 15:32:12
358441080000   3.52   3.41   2.92   2017/6/7 15:32:41
358441080000   3.58   3.33   2.93   2017/6/7 15:33:10
358441080000   3.59   3.39   3.00   2017/6/7 15:33:40
358441080000   3.48   3.45   2.85   2017/6/7 15:34:09
358441080000   3.62   3.58   3.02   2017/6/7 16:33:44
358441080000   3.60   3.41   3.10   2017/6/7 16:34:37
358441080000   3.51   3.52   2.93   2017/6/7 16:35:32
358441080000   3.48   3.52   2.96   2017/6/7 16:39:01
358441080000   3.71   3.62   3.04   2017/6/7 16:41:18
358441080000   3.47   3.52   2.98   2017/6/7 16:42:28
358441080000   3.56   3.47   3.16   2017/6/7 16:43:24
358441080000   3.46   3.54   3.06   2017/6/7 16:44:49
358441080000   3.60   3.51   2.96   2017/6/7 16:45:22
358441080000   3.61   3.50   3.05   2017/6/7 16:46:25
